Date,Timestamp,Open,High,Low,Close,Volume
20141120,02:00:00,118.127,118.196,117.987,118.156,6714.11000859737
20141120,03:00:00,118.156,118.239,118.122,118.153,4936.22000706196
20141120,04:00:00,118.153,118.194,118.077,118.149,3362.20000529289
20141120,05:00:00,118.149,118.366,118.139,118.357,4404.25000572205
20141120,06:00:00,118.357,118.539,118.333,118.465,6379.32001018524
20141120,07:00:00,118.466,118.706,118.465,118.646,7422.74000823498
20141120,08:00:00,118.646,118.68,118.48,118.616,5386.70000779629
20141120,09:00:00,118.617,118.978,118.543,118.583,10088.3500270844
20141120,10:00:00,118.583,118.654,118.29,118.605,12304.8600435257
20141120,11:00:00,118.607,118.725,118.381,118.471,8264.61002469063
20141120,12:00:00,118.472,118.504,118.227,118.273,7135.18001949787
20141120,13:00:00,118.273,118.277,117.965,118.145,8751.12002229691
20141120,14:00:00,118.142,118.283,118.063,118.177,6912.61002314091
20141120,15:00:00,118.176,118.409,117.845,118.038,11499.5100251436
20141120,16:00:00,118.039,118.061,117.742,118.021,13430.6400420666
20141120,17:00:00,118.017,118.321,117.898,118.135,13246.4800423384
20141120,18:00:00,118.137,118.228,117.998,118.151,6564.66003417969
20141120,19:00:00,118.152,118.156,118.062,118.093,3595.100025177
20141120,20:00:00,118.092,118.131,117.82,117.916,4037.68000721931
20141120,21:00:00,117.915,118.073,117.901,117.933,2596.46000051498
20141120,22:00:00,117.931,118.039,117.931,118.007,2570.42000997067
20141120,23:00:00,118.008,118.238,118.004,118.199,2668.96001088619
20141121,00:00:00,118.192,118.274,118.128,118.257,2761.63001019508
20141121,01:00:00,118.256,118.368,118.235,118.247,3862.88000965118
20141121,02:00:00,118.247,118.267,117.961,118.121,7437.48001384735
20141121,03:00:00,118.119,118.123,117.447,117.553,8707.65000891685
20141121,04:00:00,117.556,117.723,117.355,117.681,8166.09001731873
20141121,05:00:00,117.679,117.87,117.582,117.641,6373.81001269817
20141121,06:00:00,117.641,117.838,117.508,117.807,6266.42001080513
20141121,07:00:00,117.808,117.953,117.713,117.872,6417.27001106739
20141121,08:00:00,117.871,118.004,117.707,117.802,5228.56000685692
20141121,09:00:00,117.803,117.865,117.562,117.57,6534.55002629757
20141121,10:00:00,117.569,117.989,117.507,117.977,10211.8000279665
20141121,11:00:00,117.979,118.121,117.597,117.751,9948.38001906872
20141121,12:00:00,117.754,117.959,117.646,117.93,8870.59002280235
20141121,13:00:00,117.933,118.104,117.756,118.001,7291.42002058029
20141121,14:00:00,118.003,118.074,117.872,117.983,6521.75001955032
20141121,15:00:00,117.981,117.987,117.822,117.861,7587.98001861572
20141121,16:00:00,117.862,117.917,117.722,117.825,8234.45002985001
